number,value,datetime_start,datetime_complete,duration,params_batch,params_box,params_cls,params_fliplr,params_hsv_h,params_hsv_s,params_hsv_v,params_lr0,params_momentum,params_mosaic,params_optimizer,params_warmup_epochs,params_weight_decay,state
0,0.61984,2026-04-15 10:03:47.666052,2026-04-15 10:50:07.887738,0 days 00:46:20.221686,64,8.248435466776273,0.32470139315496294,0.09091248360355031,0.09699098521619944,0.7491983767203796,0.19110519961044856,0.00029375384576328325,0.9511910822747311,0.5917022549267169,SGD,4,1.7073967431528114e-06,COMPLETE
1,0.79112,2026-04-15 10:50:07.903360,2026-04-15 11:33:48.925568,0 days 00:43:41.022208,64,8.711055768358081,0.5396085385900317,0.3037724259507192,0.05142344384136116,0.5331731119758383,0.04180537144799795,0.00026210878782654407,0.8062449345551705,0.5852620618436457,AdamW,3,1.4742753159914662e-05,COMPLETE
2,0.5046,2026-04-15 11:33:48.925568,2026-04-15 12:18:30.556337,0 days 00:44:41.630769,64,6.971061460667621,0.34126622533826206,0.15585553804470548,0.0909320402078782,0.23290198344001523,0.5962700559185838,0.00019634341572933326,0.8276442231844844,0.7600340105889054,SGD,1,0.0005456725485601478,COMPLETE
3,0.0,2026-04-15 12:18:30.556337,2026-04-15 13:14:16.075087,0 days 00:55:45.518750,32,5.175897174514871,0.3542727466926457,0.41436875457596467,0.032533033076326434,0.3498095607205338,0.24421412859650632,0.04835952776465952,0.9673435281567039,0.6783766633467947,SGD,1,0.0002463768595899747,COMPLETE
4,0.0,2026-04-15 13:14:16.078087,2026-04-15 13:59:56.031301,0 days 00:45:39.953214,64,8.892768570729004,1.1482288126171405,0.1792328642721363,0.07290071680409874,0.6941433120173511,0.06664018656068132,0.09133995846860977,0.7576275476449099,0.5579345297625649,Adam,1,0.001227380098785297,COMPLETE
5,0.64763,2026-04-15 13:59:56.034304,2026-04-15 14:56:51.746554,0 days 00:56:55.712250,32,6.8332895509716955,0.44351309512596204,0.3854835899772805,0.07132447872229951,0.6847065437552077,0.5051494778125466,0.0009452571391072313,0.8848916666930118,0.7468977981821954,SGD,5,0.000828752236376816,COMPLETE
6,0.73036,2026-04-15 14:56:51.746554,2026-04-15 15:54:51.847762,0 days 00:58:00.101208,32,5.495753374893249,0.7924595076427556,0.144875726456884,0.07555511385430487,0.20591834894246022,0.0692819188459137,0.008113929572637844,0.8474855004377637,0.5806106436270022,Adam,5,1.808939009276714e-05,COMPLETE
7,0.75,2026-04-15 15:54:51.847762,2026-04-15 16:50:19.219955,0 days 00:55:27.372193,32,9.376547799540958,0.6816041699662366,0.40900738296124656,0.011005192452767676,0.20514164628774753,0.38439700976363067,0.00036283583803549196,0.8564092501555387,0.9303652916281717,Adam,5,0.0037173717478250516,COMPLETE
8,0.67374,2026-04-15 16:50:19.219955,2026-04-15 17:34:21.369505,0 days 00:44:02.149550,64,8.218113753371068,0.7363555228551528,0.24862425294619273,0.09717820827209607,0.8662025654479001,0.22660406624282775,0.0010300196600986776,0.793728850286019,0.6504391549083848,SGD,3,0.005910698619088547,COMPLETE
9,0.65397,2026-04-15 17:34:21.369505,2026-04-15 18:32:59.471998,0 days 00:58:38.102493,32,6.936716561665378,1.482780544932721,0.11881877199619983,0.02420552715115004,0.6049219926652907,0.6854576537958459,0.0006853925708853063,0.7694729482934219,0.8641081743059298,SGD,1,0.004295992790539129,COMPLETE
10,0.80044,2026-04-15 18:32:59.471998,2026-04-15 19:19:55.320198,0 days 00:46:55.848200,64,4.093568797950738,1.0489002326068384,0.015534030354380945,0.04946443014220543,0.011080052608443747,0.8707827909385959,0.00010535179945522746,0.7085846377017213,0.512662999645932,AdamW,3,2.4400771927662253e-05,COMPLETE
11,0.81024,2026-04-15 19:19:55.320198,2026-04-15 20:07:22.978789,0 days 00:47:27.658591,64,4.039408259271437,1.083603792173056,0.013641505528434262,0.05277788930300319,0.031105252280416117,0.828741870125119,0.0001077160867599758,0.7017140527519937,0.5167929424672362,AdamW,3,3.155562043931054e-05,COMPLETE
12,0.81599,2026-04-15 20:07:22.978789,2026-04-15 20:55:13.766655,0 days 00:47:50.787866,64,4.153296968863261,1.0697801169113323,0.0035823369232181965,0.04970853936108525,0.017050035909353112,0.89244583660061,0.004331847512441764,0.7005332028370853,0.5128747407310913,AdamW,3,3.542440790713721e-05,COMPLETE
13,0.77519,2026-04-15 20:55:13.766655,2026-04-15 21:43:14.155800,0 days 00:48:00.389145,64,4.150453420424825,1.243953446123998,0.018646390839272477,0.05050582286126921,0.009890270319394101,0.8758471163500253,0.006555842819981004,0.7186495067489282,0.5211861032926562,AdamW,2,6.916026343688034e-05,COMPLETE
14,0.83527,2026-04-15 21:43:14.155800,2026-04-15 22:30:10.996023,0 days 00:46:56.840223,64,5.30859869833292,0.9864929265634742,0.004510238535283168,0.03897767816292479,0.10550162188408234,0.7311958141614289,0.002863527111494497,0.7001237139162004,0.6471358807190548,AdamW,4,2.9653955672573863e-06,COMPLETE
15,0.81496,2026-04-15 22:30:11.011645,2026-04-15 23:17:53.546820,0 days 00:47:42.535175,64,5.34983950204231,0.9836983151637013,0.0708416367089706,0.033244908593351774,0.36326346412908944,0.7331031091578356,0.003089688851287297,0.7460060410117847,0.67455198366465,AdamW,4,2.583391083628369e-06,COMPLETE
16,0.0,2026-04-15 23:17:53.546820,2026-04-16 00:04:28.477902,0 days 00:46:34.931082,64,6.090752255173955,1.3364567033959056,0.25196326831088983,0.0046345892277173464,0.09348642607431788,0.7475259651142014,0.01867211564686835,0.9260341786703868,0.7566626464189719,AdamW,4,5.380573801056654e-06,COMPLETE
17,0.7701,2026-04-16 00:04:28.483136,2026-04-16 00:44:02.086858,0 days 00:39:33.603722,64,4.767384482750726,0.883308753845863,0.4792999953662216,0.038153410849888755,0.14700693678299404,0.6101533066206912,0.002581443331101787,0.7362281065563939,0.6351090684759552,AdamW,2,7.784764511110858e-06,COMPLETE
18,0.76826,2026-04-16 00:44:02.086858,2026-04-16 01:21:48.963913,0 days 00:37:46.877055,64,6.050501389679303,0.9174703117333796,0.06396908496433165,0.024936574100979304,0.32976194423215915,0.4188820494830602,0.009762266351749496,0.7871859660541684,0.7174425090364809,AdamW,4,1.1000882853155893e-06,COMPLETE
19,0.80518,2026-04-16 01:21:48.963913,2026-04-16 01:59:24.564198,0 days 00:37:35.600285,64,4.700273691242423,1.2087777193720328,0.20810983205083575,0.06340129925737212,0.45210765167100586,0.7903079683552129,0.0017781949099459353,0.7288310760531835,0.8353658341905823,AdamW,2,0.00011349382243903696,COMPLETE
